"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","V1","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank","adp","adp_diff"
"0501","Buffalo","Bills","BUF","DST",NA,50,"DST","robust",108.67,6,0.197500000000005,11.593932,93.0275,130.4,NA,3,-7.65333333333334,132,-1.47666666666666,109,-2.44999999999999,113,157.726666666667,-25.7266666666667
"0502","Indianapolis","Colts","IND","DST",NA,50,"DST","robust",108.885,5,0.280000000000001,12.312993,89.7475,120.525,NA,4,-7.43833333333335,131,-4.75666666666667,123,-12.325,157,145.71,-14.71
"14056","Kyler","Murray","ARI","QB",24,1,"QB","robust",347.975243123325,4,18.1745431233252,20.9414080892839,328.143,382.811,NA,2,74.0442784496819,24,72.0303333333333,29,76.5103405358627,24,64.43,-40.43
"0503","Miami","Dolphins","MIA","DST",NA,50,"DST","robust",108.405,8,0.295000000000016,4.23282300000001,92.2375,123.2,NA,4,-7.91833333333334,134,-2.26666666666668,112,-9.65000000000001,140,175.4,-41.4
"0504","New England","Patriots","NEP","DST",NA,50,"DST","robust",101.13,20,0.650000000000006,9.56277,90.545,112.625,NA,7,-15.1933333333333,165,-3.95916666666666,120,-20.225,190,154.506666666667,10.4933333333333
"0505","New York","Jets","NYJ","DST",NA,50,"DST","robust",94.99,25,2.30499999999999,7.72434600000001,82.41,102.3725,NA,10,-21.3333333333333,191,-12.0941666666667,160,-30.4775,219,299.77,-108.77
"0506","Cincinnati","Bengals","CIN","DST",NA,50,"DST","robust",79.63,32,NA,10.400439,59.475,87.07,NA,16,-36.6933333333333,235,-35.0291666666667,226,-45.78,269,NA,NA
"0507","Cleveland","Browns","CLE","DST",NA,50,"DST","robust",106.13,13,0.0349999999999966,10.393026,85.7125,116.3,NA,6,-10.1933333333333,146,-8.79166666666666,151,-16.55,178,149.106666666667,-3.10666666666668
"0508","Tennessee","Titans","TEN","DST",NA,50,"DST","robust",93.6,26,4.00749999999999,4.15128000000001,78.2425,97.25,NA,10,-22.7233333333333,195,-16.2616666666667,175,-35.6,236,201.865,-6.86499999999998
"0509","Jacksonville","Jaguars","JAC","DST",NA,50,"DST","robust",87.415,28,3.44749999999999,11.41602,72.175,93.69,NA,12,-28.9083333333333,211,-22.3291666666667,198,-39.16,248,196.005,14.995
"0510","Pittsburgh","Steelers","PIT","DST",NA,50,"DST","robust",117.865,2,2.31249999999999,18.169263,92.18,134.675,NA,2,1.54166666666666,100,-2.32416666666666,114,1.82500000000002,98,109.565,-9.565
"0511","Denver","Broncos","DEN","DST",NA,50,"DST","robust",102.16,19,1.16,6.093486,86.0075,117.125,NA,7,-14.1633333333333,162,-8.49666666666667,149,-15.725,171,163.756666666667,-1.75666666666666
"0512","Kansas City","Chiefs","KCC","DST",NA,50,"DST","robust",106.1,14,0.659999999999997,8.272908,89.615,117.425,NA,6,-10.2233333333333,147,-4.88916666666665,124,-15.425,168,159.49,-12.49
"0513","Las Vegas","Raiders","LVR","DST",NA,50,"DST","robust",79.765,31,NA,12.97275,59.575,92.9325,NA,14,-36.5583333333333,234,-34.9291666666667,225,-39.9175,251,NA,NA
