"player","pos","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier","ecr","sd_ecr","risk","injury_status"
"Patrick Mahomes","QB","KC",379,20.7,13.2,358,413,99.2,105,107,12,9,12,1,"1",25.2,10.8,3.7,NA
"Josh Allen","QB","BUF",366,12.7,13.7,349,382,86,96.1,76.2,17,13,27,2,"2",42.4,10.2,3.36,NA
"Kyler Murray","QB","ARI",352,21,4.88,327,386,72.3,74.4,80.5,28,23,25,3,"2",51.7,9.29,3.64,NA
"Lamar Jackson","QB","BAL",347,10.6,11.7,333,361,67.4,79.9,55.8,30,21,37,4,"3",54.8,11,3.32,NA
"Aaron Rodgers","QB","GB",336,11.1,4.19,325,353,55.7,72,47.5,36,25,43,5,"4",71.5,9.24,3.25,NA
"Russell Wilson","QB","SEA",331,13.4,3.16,311,351,51.5,57.9,45.7,39,35,44,6,"4",70,8.7,3.31,NA
"Dak Prescott","QB","DAL",328,22.6,1.6,291,357,48.4,38,52,40,48,40,7,"4",59.2,9.93,3.73,"Q"
"Justin Herbert","QB","LAC",327,18.6,15.9,301,344,46.7,48.7,38.6,41,42,51,8,"5",77.1,8.33,3.5,NA
"Christian McCaffrey","RB","CAR",315,40,13,267,388,193,180,230,1,1,1,1,"1",1.08,0.36,4.77,NA
"Tom Brady","QB","TB",311,17.3,4.4,280,331,30.8,27.8,26,53,58,61,9,"6",90.2,10.8,3.57,NA
"Ryan Tannehill","QB","TEN",306,16.2,18.8,287,327,26.4,34.3,21.4,60,51,66,10,"7",89.6,9.85,3.48,NA
"Dalvin Cook","RB","MIN",302,39.7,13.4,263,379,180,176,221,2,2,2,2,"1",2.19,0.55,4.75,NA
"Derrick Henry","RB","TEN",289,47.7,24.9,230,377,166,142,219,3,3,3,3,"2",3.34,1.08,5.82,NA
"Jalen Hurts","QB","PHI",288,20.8,7.14,253,311,7.67,0,5.95,87,103,89,11,"8",94.8,11.7,3.75,"Q"
"Kirk Cousins","QB","MIN",281,14.8,0.535,261,305,0.535,8.58,0,100,87,103,12,"8",125,15.7,3.72,NA
"Matthew Stafford","QB","LAR",280,19.2,8.34,256,301,0,3.7,-4.38,103,95,119,13,"9",98.6,9.86,3.6,NA
"Joe Burrow","QB","CIN",272,18.1,3.79,245,291,-8.34,-7.83,-14.5,133,134,167,14,"9",106,8.94,3.51,NA
"Matt Ryan","QB","ATL",268,16,4.9,245,287,-12.1,-7.35,-18.7,145,131,182,15,"10",122,16.1,3.78,NA
"Alvin Kamara","RB","NO",264,38.3,19,220,335,142,133,177,4,4,5,4,"3",5.65,2.87,4.77,NA
"Trevor Lawrence","QB","JAC",263,24,1.21,234,300,-17,-18.9,-5.66,164,167,124,16,"10",120,16.6,4.12,NA
"Baker Mayfield","QB","CLE",262,21.8,1.51,244,301,-18.2,-8.54,-4.55,170,140,120,17,"10",140,23.8,4.39,NA
"Derek Carr","QB","LVR",260,22.3,1.76,242,299,-19.8,-11.1,-6.02,176,151,125,18,"10",164,27.7,4.61,NA
"Ben Roethlisberger","QB","PIT",258,17,2.28,241,288,-21.5,-11.4,-17.4,181,152,178,19,"10",154,24.6,4.25,NA
"Tua Tagovailoa","QB","MIA",256,20.6,5.7,233,286,-23.8,-19.6,-19.9,190,170,186,20,"11",144,29.4,4.63,NA
"Ryan Fitzpatrick","QB","WAS",250,31.5,2.74,203,299,-29.5,-50,-6.73,206,252,130,21,"11",148,31,5.14,NA
"Deshaun Watson","QB","HOU",248,103,9.93,108,366,-32.2,-145,61,211,584,35,22,"12",257,88.4,10.8,NA
"Nick Chubb","RB","CLE",245,39.5,1.23,194,313,123,107,155,5,8,6,5,"3",6.96,3.19,4.96,NA
"Aaron Jones","RB","GB",244,22.8,3.19,210,280,121,123,122,6,5,9,6,"3",7.19,2.41,2.74,NA
"Ezekiel Elliott","RB","DAL",240,53.9,1.08,189,345,118,102,187,7,11,4,7,"4",5.76,2.03,6.71,NA
"Saquon Barkley","RB","NYG",239,29.2,6.71,208,279,117,121,121,8,6,10,8,"4",9.47,5.51,3.85,"Q"
"Daniel Jones","QB","NYG",238,21.4,4.47,209,259,-42.2,-43.3,-46.1,236,228,261,23,"12",160,26.8,4.53,NA
"Sam Darnold","QB","CAR",233,27.5,6.36,179,251,-46.6,-74.1,-54.8,250,332,290,24,"13",184,40.2,5.44,NA
